UNIT FILE                                    STATE           PRESET
ubuntu-fan.service                           enabled         enabled
udev.service                                 alias           -
udisks2.service                              enabled         enabled
ufw.service                                  enabled         enabled
unattended-upgrades.service                  enabled         enabled
update-notifier-download.service             static          -
update-notifier-motd.service                 static          -
upower.service                               disabled        enabled
usb_modeswitch@.service                      static          -
usbmuxd.service                              static          -
user-runtime-dir@.service                    static          -
user@.service                                static          -
uuidd.service                                indirect        enabled
wacom-inputattach@.service                   static          -
whoopsie.service                             static          -
wpa_supplicant-nl80211@.service              disabled        enabled
wpa_supplicant-wired@.service                disabled        enabled
wpa_supplicant.service                       enabled         enabled
wpa_supplicant@.service                      disabled        enabled
x11-common.service                           masked          enabled

312 unit files listed.
